"title","date_time_begin","date_time_end","url","location_name","location_lat","location_lng","tags"
"Digital.Analog 6 1/2","2008-10-18T18:00:00","","http://www.digitalanalog.org/","","","",""
"OpenStreetMap-Treff","2008-10-21T19:00:00","","http://wiki.openstreetmap.org/index.php/München","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"CRM Accelerations","2008-10-22T00:00:00","","http://www.sugarcrm.com/crm/crm-acceleration/munich","Hilton München","48.13017","11.59276",""
"15. Münchner Usertreffen der Python User Group","2008-10-23T18:30:00","","http://wiki.python.de/User_Group_München","Institut für Informatik, LMU","48.149749","11.594388",""
"pl0gbar München #6","2008-10-27T19:00:00","","http://pl0gbar.mixxt.de/networks/wiki/index.muenchen","Tassilogarten","48.1233753","11.5955395",""
"Lockpicker-Treff","2008-10-29T19:00:00","","http://www.example.com","muCCC","48.1535408","11.5604699",""
"sage@guug München am 10.11.2008 bei IBM","2008-11-10T19:00:00","","http://www.guug.de/lokal/muenchen/","IBM Forum, München","48.13518","11.67094",""
"OpenStreetMap-Treff","2008-11-18T19:00:00","","http://wiki.openstreetmap.org/index.php/München","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"Treffen der Münchner Perl Monger","2008-11-19T19:00:00","","http://munich.pm.org/","Man Fat","48.1521827","11.5738825",""
"Python User Group München","2008-11-20T18:30:00","","http://wiki.python.de/User_Group_M%C3%BCnchen","Institut für Informatik der LMU","48.149749","11.594388",""
"cakeBar Treffen","2008-11-20T19:30:00","","http://www.cakebar.de/","Hacker Pschorr Bräuhaus","48.1361223","11.5478647",""
"Lockpicker-Treff","2008-11-26T19:00:00","","http://www.example.com","muCCC","48.1535408","11.5604699",""
"µc³ Geekend","2008-11-28T00:00:00","2008-11-30T00:00:00","http://wiki.muc.ccc.de/geekend08:geekend-2008-11","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"dojo.beer()","2008-12-05T00:00:00","","http://dojotoolkit.org/2008/11/16/dojo-beer-munich-germany-december-5th","Mayflower","48.1353024510486","11.5853190422058",""
"dojo.beer()","2008-12-06T00:00:00","","http://dojotoolkit.org/2008/11/16/dojo-beer-munich-germany-december-5th","Mayflower","48.1353024510486","11.5853190422058",""
"MobileMonday","2008-12-08T14:00:00","2008-12-08T23:00:00","http://www.mobile-monday.de/events/national-summit","HVB Forum","48.1362105","11.572893",""
"Webmontag München","2008-12-08T18:00:00","","http://webmontag.de/location/muenchen/index","Studio 089","48.1513868","11.5769447",""
"sage@guug Admin-Stammtisch mit Vortrag","2008-12-08T19:00:00","","http://www.guug.de/lokal/muenchen","Hochschule München","","",""
"Open-Video Projekt","2008-12-10T00:00:00","2009-01-15T00:00:00","http://www.example.com","Gasteig","48.1315038539583","11.5914022922516",""
"OpenStreetMap-Treff","2008-12-16T19:00:00","","http://wiki.openstreetmap.org/index.php/München","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"Von Äpfeln und Birnen - Über aktuelle CPU-Designs","2008-12-18T20:00:00","","http://muc.ccc.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"Admin-Stammtisch: News in OpenSolaris 2008.11","2009-01-12T19:00:00","","http://www.guug.de/lokal/muenchen","Sun Microsystems GmbH","48.15772","11.75938",""
"Kick-Off der Munich OpenSolaris User Group","2009-01-12T19:00:00","","http://www.opensolaris.org/os/project/mucosug/","Sun Microsystems GmbH","48.15772","11.75938",""
"Python User Group München","2009-01-15T18:30:00","","http://wiki.python.de/User_Group_München","Institut für Informatik der LMU","48.149749","11.594388",""
"CakeBar II","2009-01-15T19:00:00","","http://www.cakebar.de/?p=47","Hacker Pschorr Bräuhaus","48.1361223","11.5478647",""
"CocoaHeads München","2009-01-15T20:00:00","","http://cocoaheads.org/de/Munich/index.html","Münchner Gesellenhaus","48.1381238","11.56264",""
"OpenStreetMap-Treff","2009-01-20T19:00:00","","http://wiki.openstreetmap.org/index.php/München","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"GirlGeekDinner","2009-01-27T19:00:00","","http://girlgeekdinner.de/entry/35/girl_geek_dinner_muenchen_am_2","Kostbar","48.1530988","11.5744426",""
"Lockpicker-Treff","2009-01-28T19:00:00","","http://www.example.com","muCCC","48.1535408","11.5604699",""
"Webmontag München, Germany","2009-02-09T19:00:00","","http://webmontag.de/location/muenchen/index","Mediadesign Hochschule","48.1165888","11.603602",""
"µc³ Öffentliches Treffen","2009-02-10T00:00:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"OpenStreetMap-Treff","2009-02-17T19:00:00","","http://wiki.openstreetmap.org/index.php/München","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"Lockpicker-Treff","2009-02-25T19:00:00","","http://www.example.com","muCCC","48.1535408","11.5604699",""
"OpenSolaris Install Party","2009-02-26T18:00:00","","http://www.opensolaris.org/os/project/mucosug/events/#2009-02-26_MUCOSUG_OpenSolaris_2008_11_Install_Party","TU München, Campus Garching","48.2654839","11.6713858",""
"Sysadmin-Stammtisch: ""A Sysadmins Guide to Authentication and Authorization""","2009-03-09T19:00:00","","http://www.guug.de/lokal/muenchen/","Hochschule München","","",""
"µc³ Öffentliches Treffen","2009-03-10T00:00:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
".NET Developers Group","2009-03-17T18:00:00","","http://www.munichdot.net/Events/562.aspx","Firma TESIS","48.09886","11.53357",""
"OpenStreetMap-Treff","2009-03-17T19:00:00","","http://wiki.openstreetmap.org/index.php/München","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"Munich OpenSolaris User Group Meeting","2009-03-18T19:00:00","","http://www.opensolaris.org/os/project/mucosug/announcements/","Fliegerbräu Feldkirchen","48.14795","11.73539",""
"Vortrag Primzahlen","2009-03-19T18:00:00","2009-03-19T19:30:00","http://www.mvhs.de/","Gasteig","48.1315038539583","11.5914022922516",""
"DevDusk München","2009-03-19T19:00:00","","http://devdusk.mixxt.de/networks/wiki/index.teilnahme_muenchen","EineWelt Haus","48.13769","11.55287",""
"Bavarian Android Programmers","2009-03-23T19:30:00","","http://www.meetup.com/munich-android/de/calendar/9802347/","","","",""
"Lockpicker-Treff","2009-03-25T19:00:00","","http://www.example.com","muCCC","48.1535408","11.5604699",""
"Java User Group","2009-03-30T18:00:00","","http://www.jugm.de/","Firma mgm technology partners","48.1881217","11.5856197",""
"Google API Stammtisch","2009-04-01T19:00:00","","http://www.silberkind.de/dokuwiki/doku.php/google_api_stammtisch","Google Germany GmbH","48.138594","11.57731",""
"JBUG Munich","2009-04-02T19:00:00","","http://www.jbug-munich.de","Firma mgm technology partners","48.1881217","11.5856197",""
"Ubuntu User Group","2009-04-03T19:00:00","","http://forum.ubuntuusers.de/topic/anwendertreffen-in-muenchen-jeden-2.-sa.-im-m/18/","Froschkönig","48.1509485","11.5424327",""
"µc³ Öffentliches Treffen","2009-04-14T00:00:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"Treffen der LUG München","2009-04-15T20:00:00","","http://www.muc-lug.de/","Gaststätte ""Rhaetenhaus""","48.1447889","11.5629235",""
"PHP Test Fest","2009-04-16T00:00:00","2009-04-17T00:00:00","http://wiki.php.net/qa/testfest","Microsoft München","48.29045","11.58162",""
"Subversion Best Practice","2009-04-16T19:00:00","","http://www.silberkind.de/dokuwiki/devdusk_subversion_bestpractice","Holzbrink eLab","","",""
".net Developers Group","2009-04-21T18:00:00","","http://www.munichdot.net/Events/564.aspx","Firma TESIS","48.09886","11.53357",""
"OpenStreetMap-Treff","2009-04-21T19:00:00","","http://wiki.openstreetmap.org/index.php/München","Alter Wirt Ramersdorf","48.1148638","11.6147689",""
"Java-Sicherheitsarchitektur","2009-04-22T17:00:00","","http://www.hm.edu/allgemein/aktuelles/veranstaltungen/veranstaltung_detailseite_896.de.html","Hochschule München","","",""
"Treffen der LUG Ottobrunn","2009-04-22T20:00:00","","http://www.lug-ottobrunn.de","Weinstube gegenüber Wolf-Ferrari-Haus","48.0640543","11.6652116",""
"Python User Group: Python 3","2009-04-23T18:30:00","","http://wiki.python.de/User_Group_München","","","",""
"Treffen der Münchner Lisp User Group","2009-04-24T19:00:00","","http://community.schemewiki.org/?munich-lisp","LMU (Informatik)","48.149749","11.594388",""
"Bavarian Android Programmers","2009-04-27T00:00:00","","http://www.example.com","","","",""
"Java User Group","2009-04-27T19:00:00","","http://www.jugm.de/","Firma mgm technology partners","48.1881217","11.5856197",""
"Selbst PR: Stärken erfolgreich kommunizieren","2009-04-28T19:00:00","","http://www.webgrrls.de","Seidlvilla","48.15867","11.58773",""
"pl0gbar München #8","2009-04-29T18:00:00","","http://pl0gbar.mixxt.de/networks/events/show_event.4578","Niederlassung","48.1326463388206","11.5771876145444",""
"Bioinformatik Kolloquium","2009-04-29T18:00:00","","http://www.bioinformatik-muenchen.de/bioinformatics/kolloq","LMU (Richard-Waner-Str. 10)","48.14744","11.56359",""
"Lockpicker-Treff","2009-04-29T19:00:00","","http://www.example.com","muCCC","48.1535408","11.5604699",""
"Drupal Wanderung in den Mai","2009-05-01T10:30:00","","http://groups.drupal.org/node/21693","Brauneck- und Wallbergbahnen, 83661 Lenggries","47.6825636","11.5765039",""
"Von PHP 4 auf PHP 5 migrieren - Entwickler Akademie","2009-05-04T00:00:00","2009-05-05T00:00:00","http://www.example.com","","","",""
"JBUG Munich","2009-05-04T19:00:00","","http://www.jbug-munich.de","Firma mgm technology partners","48.1881217","11.5856197",""
"Treffen der LUG Ottobrunn","2009-05-04T20:00:00","","http://www.lug-ottobrunn.de","Weinstube gegenüber Wolf-Ferrari-Haus","48.0640543","11.6652116",""
"OpenSSO Community Day","2009-05-05T09:00:00","2009-05-05T17:00:00","http://www.example.com","Forum am Deutschen Museum","48.1294742","11.5825394",""
"4. Deutschsprachiges Scrum Meeting München","2009-05-05T10:00:00","","http://scrumaufdeutsch.pbwiki.com/FrontPage","","","",""
"Wikipedia Stammtisch","2009-05-05T19:00:00","","http://de.wikipedia.org/wiki/Wikipedia:München","Dal Cavaliere","48.1287082","11.5947714",""
"Face-Lifting für Ihr Unternehmen - Logo und Corporate Identity","2009-05-07T19:00:00","","http://www.webgrrls.de","Seidlvilla","48.15867","11.58773",""
"Dojo.Beer(3)","2009-05-09T12:00:00","","http://dojo.beer.mixxt.de/networks/wiki/index.dojo_beer_3","Skytec AG","48.033929","11.588489",""
"µc³ Öffentliches Treffen","2009-05-12T00:00:00","","http://muc.ccc.de/treffen.html.de","Chaos Computer Club München (CCC)","48.153661358","11.5607768297",""
"AK Serviceorientierte Architektur","2009-05-13T19:00:00","","http://wwwspies.informatik.tu-muenchen.de/gi/","Firma mgm technology partners","48.1881217","11.5856197",""
"Python User Group Monatstreffen","2009-05-14T18:30:00","","http://wiki.python.de/User_Group_M%C3%BCnchen","Institut für Informatik, LMU","48.149749","11.594388",""
"12. Munich OpenCoffee Club","2009-05-15T09:00:00","2009-05-15T10:30:00","https://www.xing.com/events/328656","Restaurant Brenner","48.139058","11.581843",""
"Treffen der PHP UG MUC","2009-05-20T12:00:00","","http://www.example.com","Bernie's Nudelbrett","","",""
"Munich OpenSolaris Usergroup Treffen","2009-05-20T19:00:00","","http://www.mucosug.org/","Paulaner am Nockerberg","48.1218149","11.5824993",""
"Perl Monger Treffen","2009-05-20T19:00:00","","http://munich.pm.org/activities.html","Il Cigno","48.1297021","11.6020179",""
"Treffen der LUG Ottobrunn","2009-05-20T20:00:00","","http://www.lug-ottobrunn.de","Weinstube gegenüber Wolf-Ferrari-Haus","48.0640543","11.6652116",""
"LUG München","2009-05-20T20:00:00","","http://www.muc-lug.de/","Gaststätte ""Rhaetenhaus""","48.1447889","11.5629235",""
"Java User Group","2009-05-25T19:00:00","","http://haug-server.dyndns.org/confluence/display/JUGM/JUGM%2BTermine","Firma mgm technology partners","48.1881217","11.5856197",""
